"Curated selection","Selección curada"
"Discover curated suggestions and product explanations generated by AI.","Descubrí sugerencias seleccionadas y explicaciones de productos generadas por IA."
"What are you looking for today?","¿Qué estás buscando hoy?"
"Ask AI","Preguntar a la IA"
"No suggestions yet","Aún no hay sugerencias"
"Use the search box or press ""Ask AI"" to start.","Usá el buscador o presioná ""Preguntar a la IA"" para comenzar."
"AI assistant is disabled for this store view.","El asistente de IA está deshabilitado para esta vista de tienda."
"AI results unavailable. Please try again later.","Los resultados de IA no están disponibles. Intentá nuevamente más tarde."
"AI endpoint is not configured.","El endpoint de IA no está configurado."
"Please enter a query for the AI assistant.","Ingresá una consulta para el asistente de IA."
"No AI suggestions.","No hay sugerencias de IA."
"Loading AI results...","Buscando los mejores resultados"
"No image","Sin imagen"
"View details","Ver detalle"
"Shopping Assistance","Asistencia de compras"
"Copilot Endpoint","Endpoint de Copilot"
"Default Seller","Vendedor predeterminado"
"Copilot Timeout (seconds)","Tiempo de espera de Copilot (segundos)"
"Set to 0 for unlimited timeout. Applies only to Copilot requests.","Establecé 0 para tiempo de espera ilimitado. Se aplica solo a las solicitudes de Copilot."
"Seller Persona Prompt","Prompt de la persona del vendedor"
"Optional prompt/persona text sent to the Copilot for this seller. Saving will update the seller via /sellers/{id}.","Texto opcional de prompt/persona enviado al Copilot para este vendedor. Al guardar se actualizará el vendedor vía /sellers/{id}."
"Resolved via /sellers/ endpoint using the configured client credentials.","Se resuelve mediante el endpoint /sellers/ usando las credenciales configuradas."
